spotifty id,name,artist,artist followers,genre,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6t3e2UfHXGVdxXJhPYj6Lg,Montania,Calma Interiore,371,[],Montania,2021-09-27,178909,66,0.88,0.213,0.0429,0.724,6,0.105,-28.484,0,0.0413,69.86,3,0.101
1E8X81mDNXxPlzIWGdwFmg,Ethereal,Joanna Neriah,118,[],Ethereal,2021-09-27,226833,65,0.878,0.172,0.00946,0.897,7,0.104,-34.226,1,0.0378,75.555,3,0.0343
6uZF7xC32ewhpsm36IaM5T,Neblinoso,Cameron Sinosa,169,['sleep'],Neblinoso,2021-09-30,234750,65,0.99,0.198,0.00582,0.914,7,0.17,-37.049,1,0.0466,73.79,4,0.0369
6FTI1GirXye67U41XkzR2h,Dreaminess,Miesha Berens,73,[],Dreaminess,2021-10-01,197573,62,0.97,0.0787,0.0347,0.944,7,0.0902,-30.483,1,0.0467,74.363,4,0.0388
1ngTQ4T37HeS0NplRUTX24,Center Of Attention,John Sentinela,23,[],Center Of Attention,2022-02-17,164698,50,0.978,0.174,0.00813,0.845,5,0.141,-33.187,0,0.0363,140.26,4,0.0525
3WuOYQvrHVAANn735uiw1k,After the storm,Glimmolo,85,[],Ascending,2021-10-17,221739,54,0.917,0.147,0.00695,0.959,10,0.112,-36.138,0,0.0369,139.161,1,0.0415
5xcgi9ta3wVzBFktltBLMo,Underview,Eldrelder,42,[],Underview,2022-02-21,110000,65,0.99,0.0705,0.00211,0.869,0,0.126,-36.18,1,0.0426,76.472,4,0.0967
0OXgaVgiSiuPYjPRiFSyiY,Mixture,Matt Deep,44,[],Sonorous,2021-12-20,198943,54,0.992,0.205,0.0046,0.882,3,0.101,-35.189,0,0.0408,67.784,4,0.0484
2FojeY4xeZC2wrwIgTDDVU,in the hide,Rossyx,120,[],hieroglyphs,2021-10-26,171208,57,0.973,0.229,0.0418,0.929,4,0.0916,-25.388,0,0.0376,68.726,4,0.0419
2quE9M1AL9B7T6iSjzeT0o,Aura,Zion Llama,116,[],Aura,2022-01-15,151243,66,0.976,0.138,0.00835,0.795,5,0.11,-34.968,1,0.0505,67.18,4,0.0391
